Unnamed: 0,name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost
18237,Talk Over Table,No,No,4.0,284,Jeevan Bhima Nagar,Cafe,Cafe,500.0
6081,Naachiyar's,Yes,No,3.9,117,Ulsoor,Casual Dining,Chettinad,600.0
24545,De3 - The Eatery,No,No,3.1,13,North Bangalore,Food Truck,Fast Food,250.0
34545,Khatta Meetha Teekha,Yes,No,4.3,193,Koramangala 6th Block,Quick Bites,"Street Food, North Indian, Mithai, Chinese, Beverages",300.0
1127,Kakal-Kai Ruchi,Yes,No,3.7,217,JP Nagar,Casual Dining,"North Indian, South Indian, Chinese",500.0
28418,Sagar Fast Food,Yes,No,4.0,138,Koramangala 8th Block,Quick Bites,"South Indian, North Indian, Street Food, Chinese",250.0
36101,Om Sweets & Snacks,No,No,3.9,34,Koramangala 5th Block,Sweet Shop,"Mithai, Oriya, Bengali",150.0
9555,Cafe Sulaimani,No,No,3.7,0,BTM,Quick Bites,"Kerala, South Indian, Biryani",300.0
43561,Chaai Resto,Yes,No,3.7,0,New BEL Road,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250.0
27305,Night Restro,Yes,No,3.1,223,BTM,Delivery,"North Indian, Chinese",500.0
10890,Fresh Pressery Cafe,Yes,No,4.1,137,Koramangala 5th Block,Cafe,"Cafe, Healthy Food, Salad, Beverages, Desserts",1200.0
28124,Cool Bites,Yes,No,3.7,0,Koramangala 4th Block,Quick Bites,"Fast Food, Juices",200.0
43505,Le Rock,Yes,No,4.1,1219,Brigade Road,Bar,"Continental, Chinese",2000.0
9571,Restro Cafe,Yes,No,3.8,30,Jayanagar,Cafe,Cafe,400.0
40800,Tayabbs,Yes,No,3.3,7,Whitefield,Quick Bites,"Fast Food, Rolls",350.0
9235,Aalishan Restaurant & Caterer,Yes,No,3.5,888,Koramangala 7th Block,Casual Dining,"North Indian, Mughlai",650.0
26674,KF's Biryani's and Kababs,Yes,No,3.4,17,Koramangala 4th Block,Quick Bites,"Biryani, Kebab",400.0
46527,Karavali Lunch Home,Yes,No,4.0,173,Malleshwaram,Quick Bites,"South Indian, Seafood",300.0
35220,Zaitoon Lassi Cafe,Yes,No,3.7,0,BTM,Beverage Shop,"Fast Food, Beverages",200.0
39481,Pure & Natural,No,No,2.6,30,Malleshwaram,Quick Bites,"Healthy Food, Beverages, Fast Food",500.0
4851,Lassi Cafe,No,No,3.6,23,Sarjapur Road,Beverage Shop,"Beverages, Street Food, North Indian",300.0
36829,Cafe Arabica,No,No,3.8,69,Bannerghatta Road,"Cafe, Bakery","Cafe, Bakery, Arabian, Fast Food",700.0
4093,Deccan Kitchen,Yes,No,3.7,31,Marathahalli,Casual Dining,"South Indian, North Indian",700.0
33080,Aroma Cafe,No,No,3.7,0,HSR,Quick Bites,"Rolls, Sandwich",300.0
46518,New Fishland,No,No,3.9,40,Malleshwaram,Quick Bites,"Seafood, Chinese, North Indian, South Indian",400.0
23403,Cable Car,Yes,Yes,4.3,1247,Jayanagar,Casual Dining,"North Indian, Italian",1000.0
21206,Black Cup Cafe,Yes,No,3.7,28,BTM,Cafe,"Cafe, Fast Food, Beverages",400.0
6245,Stir Fry,No,No,4.0,209,Residency Road,Casual Dining,"Chinese, Momos",500.0
4882,Tandoori Tadka,No,No,3.7,0,Marathahalli,Quick Bites,"North Indian, Chinese",300.0
10821,Sixth Avenue Cafe And Patisserie,No,No,4.4,159,Koramangala 5th Block,"Cafe, Dessert Parlor","Cafe, Italian, Desserts",600.0
1464,Juice Junction,Yes,No,2.9,19,JP Nagar,Beverage Shop,"Juices, Fast Food",150.0
38480,MM Bar & Restaurant,No,No,3.6,11,Shivajinagar,Bar,"South Indian, North Indian",700.0
10746,RSS Donne Biryani,Yes,No,3.3,59,BTM,Quick Bites,Biryani,300.0
26233,RBN Fast Food,No,No,3.7,0,Hennur,Quick Bites,"South Indian, Fast Food",300.0
17768,Omleterian,Yes,No,3.7,0,Ulsoor,Delivery,"American, Continental",200.0
24051,Aqni,Yes,No,3.9,358,HBR Layout,Casual Dining,"North Indian, Mughlai, Biryani, Rolls",650.0
45155,Nizam's Biryani House,Yes,No,3.7,0,Old Airport Road,Casual Dining,"Hyderabadi, Biryani",700.0
10512,Chaatimes,Yes,No,3.4,46,BTM,Quick Bites,"Street Food, Fast Food",200.0
5286,INDULGE by InnerChef,Yes,No,3.5,27,Indiranagar,Bakery,"Desserts, Bakery",400.0
11582,Mudpipe Cafe,Yes,No,4.2,740,Cunningham Road,Cafe,"Cafe, Continental, Italian, Burger",750.0
9889,Moghul Durbar Restaurant,No,No,4.0,335,Jayanagar,Casual Dining,"North Indian, BBQ, Kebab, Rolls",550.0
42140,Robin Brown Ice Cream,Yes,No,3.7,0,Frazer Town,Dessert Parlor,Desserts,250.0
14398,Lion City Restaurant and Cafe,No,No,3.3,5,Electronic City,Quick Bites,"North Indian, South Indian, Chinese",300.0
44909,Nandhana Palace,No,Yes,4.2,956,Indiranagar,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese",800.0
39441,Kusum Restaurant,Yes,No,3.0,99,New BEL Road,Casual Dining,"North Indian, Chinese, Mughlai",500.0
32895,Rajeev Bakery & Juice,No,No,3.7,0,Richmond Road,"Quick Bites, Bakery","Fast Food, Desserts, Bakery",150.0
43479,RockSalt,Yes,Yes,4.4,498,St. Marks Road,"Bar, Casual Dining",Modern Indian,1900.0
46710,3G's - Gulp & Groove,Yes,Yes,4.1,664,Malleshwaram,"Bar, Casual Dining","Finger Food, Continental, Chinese",1100.0
50719,Whooppeezz,No,No,3.4,16,Whitefield,Food Court,Pizza,500.0
32032,Fresh Kitchen,Yes,No,3.3,25,Bannerghatta Road,Casual Dining,"North Indian, Chinese",600.0
24580,Cafe Nukkad,Yes,No,4.0,89,Kalyan Nagar,Quick Bites,Fast Food,200.0
44504,Keventers,Yes,No,4.0,571,Indiranagar,"Beverage Shop, Dessert Parlor","Beverages, Desserts, Ice Cream",400.0
38855,New Prince Restaurant,No,No,3.7,0,Majestic,Quick Bites,"North Indian, Biryani",300.0
8879,154 Breakfast Club,Yes,Yes,4.0,1509,Koramangala 3rd Block,Cafe,"Cafe, Continental",900.0
23859,Cafe Coffee Day,Yes,No,3.0,17,Nagawara,Cafe,Cafe,650.0
19847,Enerjuvate Studio & Cafe,No,Yes,4.2,738,Jayanagar,Cafe,"Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",800.0
13373,Hyderabad Magic,Yes,No,3.8,237,Electronic City,Quick Bites,"Hyderabadi, Chinese, Biryani, Arabian",400.0
14761,Ta'aam,Yes,No,4.1,402,Cunningham Road,Casual Dining,"North Indian, Mughlai, Arabian, Chinese",750.0
47533,FixMyNutrition,No,No,3.7,0,Richmond Road,"Takeaway, Delivery","Salad, Asian, Continental, Healthy Food",500.0
48439,Sarjapur Social,Yes,No,4.6,1324,Sarjapur Road,"Bar, Casual Dining","American, North Indian, Chinese, Finger Food",1500.0
27455,Midnight Special,Yes,No,3.7,0,HSR,"Takeaway, Delivery","North Indian, Fast Food, Chinese",500.0
44751,Fire And Ice,Yes,No,3.7,19,Kaggadasapura,"Dessert Parlor, Quick Bites","Desserts, Fast Food",300.0
23575,Manna Tasty Foods,No,No,3.7,0,Hosur Road,Quick Bites,"South Indian, Biryani, Seafood",500.0
24681,Al-Arabi Restaurant,No,No,3.7,0,Kammanahalli,Casual Dining,Arabian,500.0
31614,Cafe Sulaimani,No,No,3.7,0,BTM,Quick Bites,"Kerala, South Indian, Biryani",300.0
45560,Bharanis,No,No,3.6,18,Domlur,Casual Dining,"Andhra, Biryani",600.0
28299,Embers - Nandhana Grand Hotel,No,No,3.8,38,Koramangala 6th Block,Casual Dining,"North Indian, South Indian, Thai, Chinese, Continental",900.0
23198,Cafe Bollywood,No,No,3.4,25,JP Nagar,Quick Bites,Street Food,200.0
8326,The Eatery Cafe and Restaurant,No,No,3.7,0,Koramangala 7th Block,Cafe,"Cafe, Continental",500.0
11209,The Monalisa Restaurant,Yes,No,3.3,4,Koramangala 5th Block,Quick Bites,Chinese,300.0
42319,Nithyothsav - Hotel Ramanashree,No,No,3.0,31,MG Road,Casual Dining,"North Indian, Chinese",1000.0
33373,Bakingo,Yes,No,4.0,76,Koramangala 1st Block,Bakery,"Bakery, Desserts",500.0
17149,Delhi 6 Chaats,No,No,3.7,0,HSR,Quick Bites,Street Food,200.0
50871,Golden Fork,No,No,3.7,0,Whitefield,Quick Bites,"South Indian, Chinese, North Indian",200.0
31547,Shiva's Bar And Restaurant,No,No,3.7,0,BTM,"Bar, Casual Dining","South Indian, North Indian, Fast Food",800.0
36899,Kapoor's Biriyani,Yes,No,3.3,334,BTM,Quick Bites,"Biryani, North Indian",400.0
46364,Race Course Restaurant,Yes,No,3.2,9,Rajajinagar,Quick Bites,"Chinese, North Indian, South Indian",450.0
45205,Andhra Ruchulu,Yes,No,4.0,52,Old Airport Road,Quick Bites,"Andhra, North Indian",400.0
12622,WYT RestroPub,No,No,2.7,402,MG Road,Pub,"North Indian, Chinese",1000.0
13558,Masale Daan,Yes,No,3.7,0,Electronic City,Delivery,North Indian,350.0
2299,Sambram Biriyani Paradise,Yes,No,3.5,97,JP Nagar,Casual Dining,"Biryani, North Indian, Chinese",600.0
28472,Biggies Burger 'n' More,Yes,No,3.8,108,Koramangala 6th Block,Quick Bites,"Cafe, Burger, Fast Food",400.0
27428,Midnight Express,No,No,2.8,26,Koramangala 5th Block,"Takeaway, Delivery","North Indian, Chinese, Continental",650.0
2186,D Fusion,No,No,3.7,0,Bannerghatta Road,Quick Bites,"Fast Food, Chinese",400.0
27837,Lassi Pot,No,No,3.3,7,HSR,Beverage Shop,Beverages,100.0
14940,SGS Non Veg - Gundu Pulav,Yes,No,3.9,55,St. Marks Road,Quick Bites,"Biryani, Fast Food",400.0
38738,Kshathriya's Naati Junction,No,No,3.7,0,Richmond Road,Quick Bites,South Indian,250.0
12370,Robin Brown Ice Cream,Yes,No,3.7,0,Shivajinagar,Dessert Parlor,Ice Cream,200.0
31091,The Golden Spoon Restaurant Meat & Wine,No,No,3.5,14,Koramangala 7th Block,Casual Dining,"Chinese, North Indian",1000.0
40045,Davanagere Bene Dosa Hotel,No,No,3.3,4,Rajajinagar,Quick Bites,South Indian,100.0
19609,FRYBIES,Yes,No,3.3,15,Bannerghatta Road,Quick Bites,Fast Food,350.0
30356,Box of Biryani,No,No,3.5,9,Koramangala 6th Block,Delivery,"Biryani, North Indian, Kebab",400.0
30931,Ande Ka Funda,No,No,3.2,9,Koramangala 5th Block,Quick Bites,"North Indian, Chinese, Rolls",250.0
41220,Cross Roads Inn,No,No,3.7,0,Marathahalli,Casual Dining,"North Indian, South Indian, Beverages",800.0
4660,Pathankot Punjabi Restaurant,No,No,3.2,5,Bellandur,Food Court,North Indian,350.0
6394,Tandoori Platter,No,No,3.7,0,Residency Road,Quick Bites,North Indian,450.0
648,Stop 'N' Joy,Yes,No,3.8,28,Banashankari,Quick Bites,Fast Food,150.0
