iter	RMSE
0	0.3830661419
1	0.3729053641
2	0.3634745593
3	0.3554202902
4	0.3480200029
5	0.3413076912
6	0.3356598848
7	0.3310813309
8	0.3263113434
9	0.3221709797
10	0.3185259102
11	0.3150197046
12	0.3122413793
13	0.309480442
14	0.3072571194
15	0.3053734069
16	0.303455974
17	0.3018037125
18	0.3002832507
19	0.2987830086
20	0.2973486168
21	0.2959397986
22	0.294907874
23	0.2939973676
24	0.2928307447
25	0.2917504982
26	0.2908862934
27	0.2898606386
28	0.2889154706
29	0.2882336371
30	0.287357632
31	0.2867135419
32	0.2861340249
33	0.2856115501
34	0.2851169513
35	0.2844485698
36	0.2839667986
37	0.283515294
38	0.2830649608
39	0.2826718509
40	0.2823006653
41	0.281840407
42	0.2813350724
43	0.2810315908
44	0.2807044937
45	0.2803698592
46	0.2800655775
47	0.2797586321
48	0.2794742836
49	0.2791835552
50	0.2789028228
51	0.2786730852
52	0.2784201263
53	0.2781330602
54	0.2778969506
55	0.2776211071
56	0.2773572882
57	0.277117005
58	0.2768960645
59	0.2766462492
60	0.2762333386
61	0.2758299892
62	0.2755424637
63	0.2753236268
64	0.2751161915
65	0.274904592
66	0.2747221989
67	0.2744938288
68	0.2743033045
69	0.2738750709
70	0.2736540796
71	0.2733869384
72	0.2731835003
73	0.2728561481
74	0.2726398981
75	0.272450862
76	0.2722022224
77	0.2720393394
78	0.2718541961
79	0.271685689
80	0.2714319309
81	0.2712487843
82	0.2710709252
83	0.2708944717
84	0.2707290519
85	0.2705516013
86	0.2703955979
87	0.270238719
88	0.2700857966
89	0.269926386
90	0.2697545952
91	0.2696069514
92	0.269448848
93	0.2693081361
94	0.2691484182
95	0.2688966504
96	0.2687537714
97	0.2685904113
98	0.2684742548
99	0.2683236858
100	0.2681862083
101	0.268061208
102	0.2679135642
103	0.2677822543
104	0.2676431135
105	0.2674905669
106	0.2673536239
107	0.2672005654
108	0.2670712895
109	0.266865848
110	0.2667108308
111	0.2665852803
112	0.2664435251
113	0.2662924937
114	0.2661683313
115	0.2660420698
116	0.2658882065
117	0.2655637602
118	0.2654008924
119	0.2652762646
120	0.2651644683
121	0.2650446397
122	0.2649120909
123	0.2647925289
124	0.2646623153
125	0.2645298651
126	0.2644179775
127	0.2642737157
128	0.2641189741
129	0.2639706929
130	0.2638413827
131	0.2636863531
132	0.2635083644
133	0.2633397525
134	0.2631979823
135	0.2630882445
136	0.262960049
137	0.2628481024
138	0.2627234456
139	0.2625814401
140	0.26233676
141	0.2622095411
142	0.2620951432
143	0.261969915
144	0.2618541275
145	0.2617247222
146	0.2616016399
147	0.2614788429
148	0.2613445639
149	0.2612541851
150	0.2611439998
151	0.2610099285
152	0.2608840866
153	0.2607596181
154	0.260669578
155	0.2605368093
156	0.2602934823
157	0.2600615789
158	0.2598723666
159	0.2597652623
160	0.2596526438
161	0.2595018075
162	0.259281821
163	0.2591808562
164	0.2590653492
165	0.2589559262
166	0.2588777773
167	0.2587518954
168	0.2585351016
169	0.2583908205
170	0.2582565242
171	0.2581707466
172	0.25807435
173	0.2579441697
174	0.2578359237
175	0.2577512773
176	0.2576327379
177	0.2574736928
178	0.2573583054
179	0.2571456674
180	0.2570412896
181	0.2569346606
182	0.2567858227
183	0.2567110533
184	0.2565854282
185	0.2564927308
186	0.2563952867
187	0.256279457
188	0.2562120504
189	0.2561265489
190	0.2560100592
191	0.2558017245
