iter	Passed	Remaining
0	237	237184
1	306	152906
2	383	127512
3	452	112612
4	518	103147
5	587	97246
6	650	92335
7	712	88329
8	769	84713
9	827	81920
10	886	79713
11	945	77828
12	1003	76203
13	1068	75254
14	1127	74067
15	1188	73063
16	1248	72165
17	1308	71406
18	1367	70627
19	1426	69892
20	1485	69263
21	1544	68650
22	1602	68067
23	1660	67515
24	1718	67032
25	1779	66661
26	1836	66194
27	1896	65818
28	1954	65440
29	2011	65023
30	2070	64711
31	2128	64380
32	2188	64121
33	2246	63830
34	2304	63544
35	2363	63287
36	2422	63054
37	2488	62995
38	2548	62809
39	2607	62590
40	2662	62284
41	2719	62024
42	2775	61766
43	2830	61489
44	2888	61293
45	2943	61037
46	2997	60773
47	3062	60734
48	3121	60590
49	3171	60251
50	3234	60189
51	3291	60011
52	3347	59808
53	3397	59520
54	3458	59415
55	3525	59430
56	3581	59256
57	3641	59136
58	3697	58975
59	3754	58827
60	3808	58630
61	3860	58404
62	3911	58168
63	3962	57955
64	4022	57858
65	4075	57680
66	4130	57512
67	4182	57325
68	4242	57245
69	4343	57710
70	4419	57823
71	4477	57708
72	4532	57555
73	4590	57448
74	4650	57360
75	4709	57260
76	4768	57156
77	4832	57126
78	4894	57064
79	4952	56953
80	5024	57003
81	5103	57137
82	5192	57370
83	5267	57445
84	5337	57459
85	5391	57300
86	5444	57140
87	5499	56994
88	5552	56830
89	5602	56649
90	5654	56486
91	5705	56313
92	5762	56203
93	5829	56183
94	5889	56105
95	5946	55994
96	6004	55899
97	6071	55883
98	6127	55767
99	6184	55659
100	6242	55560
101	6299	55457
102	6363	55422
103	6423	55340
104	6478	55221
105	6533	55100
106	6591	55012
107	6645	54890
108	6700	54774
109	6753	54639
110	6813	54567
111	6876	54517
112	6943	54499
113	7006	54454
114	7061	54344
115	7126	54310
116	7194	54300
117	7297	54547
118	7362	54504
119	7429	54484
120	7493	54435
121	7554	54364
122	7624	54363
123	7686	54304
124	7740	54183
125	7794	54066
126	7846	53937
127	7901	53826
128	7957	53730
129	8034	53767
130	8129	53926
131	8201	53933
132	8270	53916
133	8323	53793
134	8382	53707
135	8432	53573
136	8486	53461
137	8545	53376
138	8604	53295
139	8657	53183
140	8713	53082
141	8766	52966
142	8821	52865
143	8874	52753
144	8930	52656
145	8988	52574
146	9043	52477
147	9115	52474
148	9179	52429
149	9243	52381
150	9323	52422
151	9426	52591
152	9489	52532
153	9544	52432
154	9599	52334
155	9663	52279
156	9716	52170
157	9775	52094
158	9841	52055
159	9907	52011
160	9974	51976
161	10025	51859
